问题,关键字,相似问,答案
可以领垃圾桶吗,"垃圾桶,垃圾",有没有垃圾桶可以申请|能不能领垃圾桶|垃圾桶,"<font color=""orange"">**亲爱的同学好~**</font>
从 2020 年开始快手职场已陆续按照国家要求摆设分类垃圾桶，集中回收分类处理垃圾，同学如果需要扔垃圾，请找职场就近的分类垃圾桶，按类丢弃，不提供个人工位垃圾桶哦~"
Kconf 快手配置中心问题如何反馈,"快手配置中心,配置管理中心,kconf",快手配置管理中心 产品线负责人是|kconf的问题如何反馈|快手配置管理中心负责人是谁|快手配置管理中心oncall|快手配置管理中心用户群是什么,"<font color=""orange"">**亲爱的同学好~**</font>
Kconf 快手配置中心的使用问题可以参考此文档 [Kconf 使用说明](https://docs.corp.kuaishou.com/k/home/VB-ze2cbONW0/fcADfCErt2fPh6fqCJ0yaAXLT)；
其他的问题可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671701847963908.png)"
对私邮寄快递折扣领取,对私邮寄,寄快递企业认证|京东寄快递优惠|顺丰寄快递优惠|寄快递有优惠么,"<font color=""orange"">**亲爱的同学好~**</font>
快手员工对私寄快递可享受折扣啦！详情如下:
适用范围：全国员工(含正式员工、外包、实习生)
适用场景：对私寄快递
具体的优惠力度和领取方式可以参考此推文 [对私邮寄折扣领取方式](https://kim-message.corp.kuaishou.com/message/99681)；
**Kimi 温馨提示：**
- 折扣权益到期后，请重新进入认证页面续期；
- 以上折扣及操作方式仅适用对私寄快递，对公快递依然通过 Kim - 应用 - 快乐生活 - [快手邮局](https://xz.corp.kuaishou.com/post-office-h5/home) 发起哦~

如有任何疑问，可以联系 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-7516056-vZBOHAH1MVoP3zzA-L-tkopqk38-ksssogray) 反馈咨询。"
快手 sdk 问题反馈群,快手sdk,编译命中sdk灰度|如何获取快手sdk|快手sdk相关问题如何反馈,"<font color=""orange"">**亲爱的同学好~**</font>
快手 sdk 的相关问题可以扫码进群咨询反馈：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702977520597.png)"
软件卸载工具下载,"卸载软件,删除软件",如何卸载金山毒霸|软件卸载工具下载|卸载软件|mac电脑软件卸载|windows电脑软件卸载,"<font color=""orange"">**亲爱的同学好~**</font>

Windows用户请访问[Windows卸载工具](https://geekuninstaller.com/download)

Mac用户请访问[Mac卸载工具](https://lemon.qq.com/)"
万家灯火收件地址,小邮局,万家灯火小邮局,"<font color=""orange"">**亲爱的同学好~**</font>
**万家灯火小邮局服务时间**：
工作日：9:30-20:00
周末及法定节假日：暂停服务
**收件地址**
* 北京市海淀区万家灯火大厦小邮局
如您还有疑问，可点击??[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-22664487-pQbA9Q-jJkdfD0LaONg3ICRJ0Io-kssso)获取帮助~"
电脑水印太重了怎么办,"水印,水印重",水印太重了|电脑水印|电脑能去除水印吗,"<font color=""orange"">**亲爱的同学好~**</font>
水印太重了需要关闭可以点击 [此流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_pmsygb) 提交申请，
关于电脑水印的相关问题可以联系<@=username(SJAQSJ)=>进行咨询和反馈。"
公司有常规药品吗,"药箱,药品,药,创口贴,酒精",碘伏|公司有常规药物吗|公司有药箱吗|公司有药箱在哪里,"<font color=""orange"">**亲爱的同学好~**</font>
目前公司只有健康小屋有可以入口的药物哦，
健康小屋的地点：
-元中心职场：北京元中心T10-1F，可联系<@=username(healthcenter-d)=>获得帮助；
-万家灯火职场：一层C区西北角，可联系<@=username(healthcenter-d01)=>、<@=username(healthcenter01)=>获得帮助；
\
健康小屋现有药品的信息可参考??[此文档](https://docs.corp.kuaishou.com/d/home/fcABoTrZpk05I5CDXPHhNAP09)，
目前没有健康小屋的职场，可以联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-623815-3dD4Js8MQYD6iK5j1RgcgZXtlzg-kssso)咨询相关事宜。
温馨提示：每个职场的茶水间都配有小药箱哦~里面有创口贴、碘伏等非入口药物。"
作者收到流量券以后，券在哪找,"流量券,流量券哪里找",流量券可以在哪里找,"<font color=""orange"">**亲爱的同学好~**</font>
方法一：在快手首页「侧栏」-「设置」-「快手粉条」，右下角「我的」-「优惠券」；
方法二：在作者为某个作品购买粉条的时候，支付之前就能看到使用流量券，能使用券支付。"
提示「账户已被封禁」怎么办,账户已被封禁,账户已被封禁如何解决,"<font color=""orange"">**亲爱的同学好~**</font>
打开 Docs 文档、表格提示「账户已被封禁」，请参考此文档 [清除浏览器缓存的方法](https://docs.corp.kuaishou.com/k/home/VF5f21gkKHJo/fcAB0JCy56z60upAv7P4zOnTg) 清除浏览器缓存后关闭浏览器重新打开尝试，如果还是不行，可以点击 [此链接](https://sso.corp.kuaishou.com/cas/login) 点击「登出」后重新登陆。"
园区内有 ATM 机、一寸照相机吗,"atm机,atm,取款机",照相馆|公司有拍一寸照的地方吗|元中心哪里可以打印照片呀|公司有打印易拉宝的地方吗|证件照|你好 请问公司有可以打印证件照的地方吗|公司有atm吗|有自助照相机吗|有自助取款机吗|打印照片|园区内有地方打印照片吗|拍照的地方|园区内可以拍证件照吗,"<font color=""orange"">**亲爱的同学好~**</font>
**元中心：**
【周边银行】
1、北京农商银行（西二旗分理处）
2、中国建设银行（北京西二旗支行）
【周边图文快印】
1、永记图文照相（西二旗益民商城店）
2、广告制作图文快印（得实大厦附近）
\
**万家灯火：**
【ATM机&银行】
职场内无ATM机配置哦~附近招商银行地址：上地十街辉煌国际6号楼底商
【图文快印】
柯创图文数码快印，地址：上地十街辉煌国际广场东6号楼1层商街入口处
\
其他职场相关设备设施，请联系 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-4600619-OebQTAwjq7KGLaFpsARK92PNTYI-ksssogray) 咨询反馈。"
Docs 在线表格如何复制为图片,,如何设置复制表格的内容粘贴为表格,"<font color=""orange"">**亲爱的同学好~**</font>
Docs 表格可以复制为图片，选中要复制为图片的单元格，右键选择「复制为图片」即可：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671714986872589.png)"
离职证明选择了纸质版的，可以更改成电子版吗,"离职证明电子版,离职证明纸质版,离职证明更换",离职证明选择了纸质版的，是否可以更改成电子版呢,"<font color=""orange"">**亲爱的同学好~**</font>
离职证明**纸质版与电子版只能二选一**，选择之后无法更换。"
如何申请商标,申请商标,怎么申请商标,"<font color=""orange"">**亲爱的同学好~**</font>
商标申请流程请查看：[商标申请流程指引](https://docs.corp.kuaishou.com/k/home/VXevX15BbctQ/fcAAtHrI2SzfT9GyTuaoVKr2x)。"
为什么在直播间给主播点赞，实际点赞数未增加,点赞数不增加,直播间点赞后未增加,"<font color=""orange"">**亲爱的同学好~**</font>
系统对用户点赞的频率、次数等方面进行了限制，用户侧存在点赞mock，退出直播间后再进入，可能会点赞数减少。"
如何取消某个消息号的推送,,请问Kim消息号怎么取关,"<font color=""orange"">**亲爱的同学好~**</font>
无法取消某个消息号的推送，可以右键点击想要关闭推送的消息号设置「消息免打扰并移入消息盒子」：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671721726117796.png)"
向日葵安装链接,"向日葵下载,向日葵安装,向日葵",远程软件安装连接|远程软件安装链接|向日葵哪里可以下载|向日葵可以在哪里下载|电脑如何远程|如何远程|需要远程下载什么软件|远程软件下载连接|远程软件下载链接|向日葵下载链接|怎么下载向日葵|向日葵怎么下载|如何下载向日葵|怎么下载远程软件|远程软件怎么下载|向日葵,"<font color=""orange"">**亲爱的同学好~**</font>
下载安装向日葵，请您点击??：[向日葵](https://sunlogin.oray.com/download/) 。
"
绩效系统无法邀请他人评价是为什么,,请他人做反馈显示功能未开启不允许邀请他人评价|添加反馈人时提示未开启该功能|绩效系统无法邀请他人评价是什么原因呢,"<font color=""orange"">**亲爱的同学好~**</font>

无法邀请他人评价是**因为自评和邀请他人反馈已截止，已无法进行系统提交自评和邀请他人反馈**

**Kimi温馨提示**：如您确实希望他人对您进行反馈，可以和对方沟通，由对方进行「**主动反馈**」（ **系统反馈地址**：绩效系统--进行反馈 --主动反馈）
"
和离职同学的聊天记录还可以搜索吗,"聊天记录,离职聊天记录,搜索聊天记录",如何恢复之前的聊天|怎么查看和已经离职的同事的消息记录|离职联系搜不出来,"<font color=""orange"">**亲爱的同学好~**</font>
如果在左侧列表中删除了和离职同学的聊天记录，目前Kim 4.0版本已经支持搜索查询了。但前提是该聊天记录是在Kim 4.0上线之后删除的，如果是在4.0版本之前删除的聊天记录依然不支持搜索找回哦~"
廉正举报链接,"廉政举报,举报链接",公司内部群聊有人聊天尺度过大 涉黄了|有人舞弊,"<font color=""orange"">**亲爱的同学好~**</font>
若想要举报内部员工（如，舞弊、贿赂、性骚扰等），请您填写举报问卷（选择“廉正举报”），举报链接：[廉正举报](https://jubao.kuaishou.com/#/?channel=KSPC)。"
如何设置消息聚合器,消息聚合器,如何只显示at我的消息|如果群消息进行免打扰模式，群内发红包也不提示吗,"<font color=""orange"">**亲爱的同学好~**</font>
设置消息聚合器的内容，可以在左侧会话列表上方，点击「...」，然后再点击「...」，就可以设置消息聚合器的内容了：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671707030553178.png)
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671707030557260.png)"
为什么部署服务列表搜索不到需要的服务,"部署服务列表,搜不到需要的服务",部署插件里面搜不到需要的服务|部署服务列表搜索不到需要的服务,"<font color=""orange"">**亲爱的同学好~**</font>
**问题原因**：要部署的服务节点上绑定的产品库跟流水线上选择的一致，才可以选到。
**解决方案**：
1. 确定部署节点绑定的产品库：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671637908189879.png)
2. 部署的服务节点绑定的产品库跟流水线选择的意志，但是仍然选不到对应节点的话，可能是这个服务对应的产品库配置不正确或数据没有同步，**先尝试：在截图中“修改产品/镜像” 点开重新保存下，然后再试试搜索**。"
接收不到外部邮件,"外包邮件,无法接收外部邮件",收不到外部邮件怎么办|我的邮箱收不到外部邮件|收不到外部邮件|收不到非公司邮件|外部邮件|无法接收外部邮件|收不到外包邮件|无法收到外部人员发的邮件|收不到邮件,"<font color=""orange"">**亲爱的同学好~**</font>
收不到外部人员发送的邮件，可以参考此文档[邮件安全网关基本操作](https://docs.corp.kuaishou.com/d/home/fcACKJaSPwCUqckf9ga6aS-GO)。"
MDM安装问题和MDM安装异常,"mdm安装,mdm异常,描述文件失败",描述文件失败|mdm安装异常|mdm部署|mdm问题|mdm安装,"<font color=""orange"">**亲爱的同学好~**</font>

为了方便用户，我们将Kit和MDM封装在一起，所以大家只要安装一次，就可以完成MDM和Kit的部署。

如同学遇到MDM安装异常，或提示安装描述文件失败，请按如下操作：
该问题报错截图如下，请检查是否开启了抓包软件（如：Charles），如正在运行，请先关掉然后重新安装MDM。

![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671647232788875.png)"
可以申请无线键盘吗,,没有无线键盘吗|请问有外接蓝牙键盘嘛,"<font color=""orange"">**亲爱的同学好~**</font>
您可以点击此链接 [资产申请](https://asset.corp.kuaishou.com/material/web/material/apply) 提交申请流程，流程审批完毕后，请至 [IT 服务台](https://docs.corp.kuaishou.com/s/home/fcABC2q8nwsNMZm-DpRM4ESvu) 领取，领取时和 IT 小哥哥说明诉求，如有库存将发放给您，如没有库存，将为您发放有线键盘。"
